,0
0,0 days 00:00:00.104765
1,0 days 00:00:00.045002
2,0 days 00:00:00.045370
3,0 days 00:00:00.045083
4,0 days 00:00:00.056405
5,0 days 00:00:00.045116
6,0 days 00:00:00.046717
7,0 days 00:00:00.000297
8,0 days 00:00:00.045042
9,0 days 00:00:00.056336
10,0 days 00:00:00.045252
11,0 days 00:00:00.045084
12,0 days 00:00:00.045192
13,0 days 00:00:00.056431
14,0 days 00:00:00.045178
15,0 days 00:00:00.045185
16,0 days 00:00:00.045174
17,0 days 00:00:00.056687
18,0 days 00:00:00.056115
19,0 days 00:00:00.045183
20,0 days 00:00:00.045112
21,0 days 00:00:00.046733
22,0 days 00:00:00.045305
23,0 days 00:00:00.045170
24,0 days 00:00:00.045248
25,0 days 00:00:00.056333
26,0 days 00:00:00.045192
27,0 days 00:00:00.000313
28,0 days 00:00:00.044942
29,0 days 00:00:00.045327
30,0 days 00:00:00.045044
31,0 days 00:00:00.134217
32,0 days 00:00:00.045230
33,0 days 00:00:00.045120
34,0 days 00:00:00.045231
35,0 days 00:00:00.045249
36,0 days 00:00:00.046862
37,0 days 00:00:00.045194
38,0 days 00:00:00.045177
39,0 days 00:00:00.045064
40,0 days 00:00:00.045408
41,0 days 00:00:00.045139
42,0 days 00:00:00.045260
43,0 days 00:00:00.045179
44,0 days 00:00:00.000367
45,0 days 00:00:00.044781
46,0 days 00:00:00.003373
47,0 days 00:00:00.052937
48,0 days 00:00:00.045379
49,0 days 00:00:00.045266
50,0 days 00:00:00.053368
51,0 days 00:00:00.047741
52,0 days 00:00:00.046971
53,0 days 00:00:00.045337
54,0 days 00:00:00.056671
55,0 days 00:00:00.045088
56,0 days 00:00:00.045361
57,0 days 00:00:00.045160
58,0 days 00:00:00.450028
59,0 days 00:00:00.345623
60,0 days 00:00:00.045289
61,0 days 00:00:00.045310
62,0 days 00:00:00.056264
63,0 days 00:00:00.057851
64,0 days 00:00:00.045144
65,0 days 00:00:00.045157
66,0 days 00:00:00.045311
67,0 days 00:00:00.045157
68,0 days 00:00:00.045275
69,0 days 00:00:00.045189
70,0 days 00:00:00.045227
71,0 days 00:00:00.045238
72,0 days 00:00:00.045261
73,0 days 00:00:00.045089
74,0 days 00:00:00.056583
75,0 days 00:00:00.045344
76,0 days 00:00:00.045129
77,0 days 00:00:00.046764
78,0 days 00:00:00.045185
79,0 days 00:00:00.045244
80,0 days 00:00:00.045295
81,0 days 00:00:00.045201
82,0 days 00:00:00.044893
83,0 days 00:00:00.145520
84,0 days 00:00:00.045240
85,0 days 00:00:00.056285
86,0 days 00:00:00.045214
87,0 days 00:00:00.045291
88,0 days 00:00:00.045223
89,0 days 00:00:00.045167
